PERF {asctime} GET /favicon.ico 204 0.13s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /procurement/suppliers/ 200 0.17s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.11s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.14s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.11s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.14s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /sales/sales/ 200 0.11s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.16s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.15s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.12s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.11s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /e_commerce/orders/ 200 0.16s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.11s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.12s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.14s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.35s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /hr/employees/ 200 0.22s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/human_resources/css/hr.css 404 0.13s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.16s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.35s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.12s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /hr/employees/create/ 200 0.30s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/human_resources/css/hr.css 404 0.21s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.20s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.32s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.22s User:thembinkosi IP:127.0.0.1
PERF {asctime} POST /hr/employees/create/ 302 0.64s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /hr/employees/d4fdfa77-7ddf-4c32-8bc6-07d8cd8fd25d/ 500 0.42s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.11s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.19s User:thembinkosi IP:127.0.0.1
PERF {asctime} POST /hr/employees/create/ 200 0.15s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.14s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/human_resources/css/hr.css 404 0.11s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.28s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.18s User:thembinkosi IP:127.0.0.1
PERF {asctime} POST /hr/employees/create/ 200 0.12s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.16s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/human_resources/css/hr.css 404 0.32s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.25s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.09s User:thembinkosi IP:127.0.0.1
PERF {asctime} POST /hr/employees/create/ 302 0.19s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /hr/employees/e678ec39-dc91-45a4-a659-e8f8c83b050b/ 500 0.14s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.10s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /hr/employees/e678ec39-dc91-45a4-a659-e8f8c83b050b/ 200 1.81s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /hr/employees/e678ec39-dc91-45a4-a659-e8f8c83b050b/ 200 1.81s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.13s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/human_resources/css/hr.css 404 0.14s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.35s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.10s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /hr/employees/ 200 0.31s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/human_resources/css/hr.css 404 0.15s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.20s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.39s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.11s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET / 200 2.02s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET / 200 2.02s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.14s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.19s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /favicon.ico 204 0.08s User:thembinkosi IP:127.0.0.1
PERF {asctime} GET /accounts/logout/ 302 0.12s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/ 200 0.05s User: IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /favicon.ico 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/generic/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/customer/ 200 0.07s User: IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /favicon.ico 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/generic/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} POST /accounts/login/customer/ 302 1.38s User: IP:127.0.0.1
PERF {asctime} POST /accounts/login/customer/ 302 1.38s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/customer/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /favicon.ico 302 0.00s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/generic/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} POST /accounts/login/customer/ 302 0.27s User: IP:127.0.0.1
PERF {asctime} GET /accounts/login/customer/ 200 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/css/main.css 404 0.00s User: IP:127.0.0.1
PERF {asctime} GET /static/js/main.js 404 0.00s User: IP:127.0.0.1
